"person"	"time"	"utterance"
"P"	"23:06"	"Hi. I would like to ask about monkey animal. Monkeys from jungle nearby often go to vege garden and pluck off vege plants or fruits available before they ripe. What are the ways to scre off moneky from vege garden, what they fears anyway...? Thanks."
"P"	"23:07"	"anyone there able to help?"
"L"	"23:08"	"Hi, [Patron Name] -- let me see what I can find for you. Do you know what kind of monkeys they are? If not, could you give me your general geographic location?"
"P"	"23:10"	"oh yes, the jungle is high land about 300m away from the vege garden. in front of the garden there is a large pond. this is Malaysia it is a tropical country."
"P"	"23:11"	"the monkeys are quite large in size. they have greyish color fur. long tail, long arms"
"L"	"23:12"	"Hmm. I am trying to find some tips for you -- here is one: \"...one initiative that has been taken to scare off monkeys is by tying a toy dog to the jackfruit tree. According to a neighbour, it really works.\" This is a suggestion from a newspaper article that can be found at: http://brudirect.com/DailyInfo/News/Archive/Aug04/030804/bb04.htm ... I am still looking for more suggestions..."
"P"	"23:15"	"they can pluck up potato plants up to get the potatos below to eat and pluck brinjal to eat. Thanks... for your kind helps... i could think about toy dog..."
"L"	"23:15"	"Hmm. The only other suggestions I have found are to paint snakes and cobras on nearby trees or poles, ... there is also this"
"L"	"23:15"	"website: http://daphneburkina.typepad.com/_/2005/09/"
"L"	"23:15"	"scroll down a little, and you will see a picture of some people putting up some wire, but I don't know exactly what it is."
"L"	"23:16"	"I wish I could be more help. I'm afriad we don't really have that same problem here in Michigan, USA."
"L"	"23:17"	"Good luck! Is there anything else I can help with?"
"P"	"23:18"	"Thanks! So far no...  Bye."
"L"	"23:19"	"Thanks for using Ask Us Now! If you need additional help, please contact us at: [Chat service]"
"L"	"23:19"	"Librarian ended chat session."
